BookId	Author	WikipediaLink	WikidataId	DateOfBirth	DateOfDeath	CountryOfCitizenship	Occupation	LanguagesSpokenWrittenOrSigned	Genre	FieldOfWork	MemberOf	EducatedAt	InfluencedBy
38009	Gallichan, Walter M. (Walter Matthew)	https://en.wikipedia.org/wiki/Walter_M._Gallichan	Q15997338	1861-01-01T00:00:00Z	1946-11-27T00:00:00Z	United Kingdom	journalist	English	None	None	None	None	None
57491	Grierson, William Wylie	https://en.wikipedia.org/wiki/William_Grierson_(engineer)	Q8010210	1863-12-09T00:00:00Z	1935-03-14T00:00:00Z	None	engineer	None	None	None	None	Rugby School	None
13015	Redesdale, Algernon Bertram Freeman-Mitford, Baron	https://en.wikipedia.org/wiki/Algernon_Bertram_Freeman-Mitford,_1st_Baron_Redesdale	Q3780721	1837-02-24T00:00:00Z	1916-08-17T00:00:00Z	United Kingdom of Great Britain and Ireland	children's writer	English	None	botany	None	Eton College	None
52258	Duncan, Francis	https://en.wikipedia.org/wiki/Francis_Duncan	Q5480778	1836-01-01T00:00:00Z	1888-11-16T00:00:00Z	United Kingdom of Great Britain and Ireland	politician	English	None	None	None	University of Aberdeen	None
51384	Pontoppidan, Henrik	https://fi.wikipedia.org/wiki/Henrik_Pontoppidan	Q225554	1857-07-24T00:00:00Z	1943-08-21T00:00:00Z	Denmark	writer	Danish	prose	None	None	None	None
4293	Otis, James	https://en.wikipedia.org/wiki/James_Otis_Kaler	Q6140692	1848-03-19T00:00:00Z	1912-12-11T00:00:00Z	United States of America	children's writer	English	None	None	None	None	None
14782	Roberts, Lloyd	https://en.wikipedia.org/wiki/William_Harris_Lloyd_Roberts	Q8010931	1884-10-31T00:00:00Z	1966-06-28T00:00:00Z	Canada	playwright	English	None	None	None	None	None
64796	Beruete y Moret, A. de (Aureliano)	https://es.wikipedia.org/wiki/Aureliano_de_Beruete_y_Moret	Q8209281	1876-01-01T00:00:00Z	1922-01-01T00:00:00Z	Spain	historian	Spanish	None	None	Sociedad de Amigos de Portugal	Complutense University of Madrid	None
6969	Lysias	https://en.wikipedia.org/wiki/Lysias	Q310164	-0444-01-01T00:00:00Z	-0379-01-01T00:00:00Z	None	orator	Ancient Greek	None	None	None	None	None
17343	Bute, John Patrick Crichton-Stuart, Marquess of	http://en.wikipedia.org/wiki/John_Crichton-Stuart%2C_3rd_Marquess_of_Bute	Q324028	1847-09-12T00:00:00Z	1900-10-09T00:00:00Z	United Kingdom of Great Britain and Ireland	bibliophile	None	None	religious studies	Royal Economic Society of Friends of the Country of Tenerife	Harrow School	None
22174	Morison, William	https://en.wikipedia.org/wiki/William_Morison	Q17314725	None	None	None	None	None	None	None	None	None	None
4209	Evans, Augusta J. (Augusta Jane)	https://en.wikipedia.org/wiki/Augusta_Jane_Evans	Q274219	1835-05-08T00:00:00Z	1909-05-09T00:00:00Z	United States of America	screenwriter	English	None	None	None	None	None
18308	Sims, George R.	https://en.wikipedia.org/wiki/George_Robert_Sims	Q531150	1847-09-02T00:00:00Z	1922-09-04T00:00:00Z	United Kingdom of Great Britain and Ireland	novelist	English	None	journalism	None	None	None
59580	Coppi, Antonio	https://it.wikipedia.org/wiki/Antonio_Coppi	Q3619458	1783-04-22T00:00:00Z	1870-02-26T00:00:00Z	Kingdom of Italy	historian	Italian	None	None	Academy of Sciences of Turin	None	None
27294	Yang, Xiong	http://zh.wikipedia.org/wiki/%E6%89%AC%E9%9B%84	Q553520	-0052-01-01T00:00:00Z	0018-01-01T00:00:00Z	China	politician	Chinese	None	philosophy	None	None	None
19726	Bradley, Marion Zimmer	https://en.wikipedia.org/wiki/Marion_Zimmer_Bradley	Q465179	1930-06-03T00:00:00Z	1999-09-25T00:00:00Z	United States of America	novelist	English	fantasy	None	None	Hardin–Simmons University	None
27997	Hobbes, John Oliver	http://en.wikipedia.org/wiki/Pearl_Mary_Teresa_Craigie	Q1701256	1867-11-03T00:00:00Z	1906-08-13T00:00:00Z	United States of America	writer	English	None	None	None	None	None
12885	Stiles, Henry Reed	https://en.wikipedia.org/wiki/Henry_Reed_Stiles	Q5727451	1832-03-10T00:00:00Z	1909-01-07T00:00:00Z	United States of America	genealogist	None	None	None	None	Williams College	None
269	Saki	https://en.wikipedia.org/wiki/Saki	Q311526	1870-12-18T00:00:00Z	1916-11-13T00:00:00Z	United Kingdom of Great Britain and Ireland	writer	English	None	None	None	Bedford School	None
48026	Budgell, Eustace	http://en.wikipedia.org/wiki/Eustace_Budgell	Q5414294	1686-08-19T00:00:00Z	1737-05-04T00:00:00Z	United Kingdom	politician	English	None	None	None	None	None
14803	Goncourt, Edmond de	https://en.wikipedia.org/wiki/Edmond_de_Goncourt	Q1249210	1822-05-26T00:00:00Z	1896-07-16T00:00:00Z	France	writer	French	None	None	None	Lycée Condorcet	None
15582	Chevalier, Ulysse	https://en.wikipedia.org/wiki/Ulysse_Chevalier	Q1276861	1841-02-24T00:00:00Z	1923-10-27T00:00:00Z	France	Catholic priest	French	None	None	Académie des Inscriptions et Belles-Lettres	None	None
11255	United States. Work Projects Administration	https://en.wikipedia.org/wiki/Works_Progress_Administration	Q1200079	None	None	None	None	None	None	None	None	None	None
60031	Graf, Arturo	https://en.wikipedia.org/wiki/Arturo_Graf	Q715306	1848-01-19T00:00:00Z	1913-05-01T00:00:00Z	Kingdom of Italy	poet	Italian	None	poetry	Lincean Academy	None	None
63378	Urbina, Luis G. (Luis Gonzaga)	https://es.wikipedia.org/wiki/Luis_Gonzaga_Urbina#Obra_po%C3%A9tica	Q5983576	1864-02-08T00:00:00Z	1934-11-18T00:00:00Z	Mexico	teacher	Spanish	None	None	Academia Mexicana de la Lengua	None	None
57122	Giles, George Michael James	https://en.wikipedia.org/wiki/George_Michael_James_Giles	Q5542445	1853-01-01T00:00:00Z	1916-01-01T00:00:00Z	United Kingdom of Great Britain and Ireland	photographer	None	None	None	None	None	None
16885	Sade, marquis de	http://fr.wikipedia.org/wiki/Donatien_Alphonse_Fran%C3%A7ois_de_Sade	Q123867	1740-06-02T00:00:00Z	1814-12-02T00:00:00Z	Kingdom of France	playwright	French	prose	None	None	Lycée Louis-le-Grand	None
