Author,BookID,WikipediaLink
"Nennius, active 796",1972,https://en.wikipedia.org/wiki/Nennius
Aristotle,1974,https://el.wikipedia.org/wiki/%CE%91%CF%81%CE%B9%CF%83%CF%84%CE%BF%CF%84%CE%AD%CE%BB%CE%B7%CF%82
"Racine, Jean",1977,https://en.wikipedia.org/wiki/Jean_Racine
"Stallman, Richard",1981,https://en.wikipedia.org/wiki/Richard_Stallman
"Akutagawa, Ryunosuke",1982,https://en.wikipedia.org/wiki/Akutagawa_Ryunosuke
"Adams, Andy",1987,https://en.wikipedia.org/wiki/Andy_Adams_%28writer%29
"Naunton, Robert, Sir",1992,https://en.wikipedia.org/wiki/Robert_Naunton
"Nietzsche, Friedrich Wilhelm",1998,https://en.wikipedia.org/wiki/Friedrich_Nietzsche
"Huxley, Aldous",1999,https://en.wikipedia.org/wiki/Aldous_Huxley
"Browning, Elizabeth Barrett",2002,https://en.wikipedia.org/wiki/Elizabeth_Barrett_Browning
"Lewis, C. S. (Clive Staples)",2003,https://en.wikipedia.org/wiki/C._S._Lewis
"Wodehouse, P. G. (Pelham Grenville)",2005,https://en.wikipedia.org/wiki/P._G._Wodehouse
"Crofts, Freeman Wills",2013,https://en.wikipedia.org/wiki/Freeman_Wills_Crofts
"Lowndes, Marie Belloc",2014,https://en.wikipedia.org/wiki/Marie_Belloc_Lowndes
"Farnol, Jeffery",2025,http://en.wikipedia.org/wiki/Jeffery_Farnol
"Niemann, August",2026,https://de.wikipedia.org/wiki/August_Wilhelm_Otto_Niemann
Molière,2027,http://en.wikipedia.org/wiki/Moli%C3%A8re
"Ellis, J. Breckenridge (John Breckenridge)",2029,https://en.wikipedia.org/wiki/J._Breckenridge_Ellis
"King, L. W. (Leonard William)",2030,https://en.wikipedia.org/wiki/Leonard_William_King
"Farjeon, Eleanor",2032,https://en.wikipedia.org/wiki/Eleanor_Farjeon
"Maeterlinck, Maurice",2033,https://fr.wikipedia.org/wiki/Maurice_Maeterlinck
"Baker, Samuel White, Sir",2036,https://en.wikipedia.org/wiki/Samuel_Baker
"De Quincey, Thomas",2040,https://en.wikipedia.org/wiki/Thomas_De_Quincey
"Adams, Henry",2044,https://en.wikipedia.org/wiki/Henry_Adams
"Depew, Chauncey M. (Chauncey Mitchell)",2045,https://en.wikipedia.org/wiki/Chauncey_Depew
